USER;TIPO;CODE;ORIGINAL;SPAIN;LATAM
66;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
66;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
66;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
67;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
67;movie;0423294;Surf's Up;Locos por el surf (Spain);Reyes de las olas (Argentina)
67;movie;1130884;Shutter Island;Shutter Island (Spain);La isla siniestra (Argentina)
67;show;0988824;Naruto: Shippûden;Naruto: Shippûden (Spain);Naruto Shippuden (Chile)
67;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
67;show;0386676;The Office;The Office (Spain);The Office (Argentina)
68;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
68;movie;1130884;Shutter Island;Shutter Island (Spain);La isla siniestra (Argentina)
68;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
68;show;4620502;Vikings: The Viking Sagas;ND;ND
68;show;5753856;Dark;Dark (Spain);Dark (Argentina)
69;movie;0325980;Pirates of the Caribbean: The Curse of the Black Pearl;Piratas del Caribe: La maldición de la Perla Negra (Spain);La maldición del Perla Negra (Argentina)
69;movie;0126029;Shrek;Shrek (Spain);Shrek (Argentina)
69;movie;1649419;The Impossible;Lo imposible (Spain);Lo imposible (Argentina)
69;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
69;show;0108778;Friends;Friends (Spain);Friends (Argentina)
69;show;7134908;Elite;Élite (Spain);ND
70;movie;0126029;Shrek;Shrek (Spain);Shrek (Argentina)
70;movie;0298148;Shrek 2;Shrek 2 (Spain);Shrek 2 (Argentina)
70;movie;0475293;High School Musical;High School Musical (Spain);High School Musical (Argentina) (DVD title)
70;show;11937816;Who Killed Sara?;¿Quién mató a Sara? (Spain);ND
70;show;7134908;Elite;Élite (Spain);ND
70;show;8690776;Sky Rojo;Sky Rojo (Spain);ND
71;movie;0251127;How to Lose a Guy in 10 Days;Cómo perder a un chico en 10 días (Spain);Cómo perder a un hombre en 10 días (Argentina)
71;movie;0458352;The Devil Wears Prada;El diablo viste de Prada (Spain);El Diablo Viste a la Moda (Chile)
71;movie;4103724;Forever My Girl;Hasta que te encontré (Spain);ND
71;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
71;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
71;show;0397442;Gossip Girl;Gossip Girl (Spain);Gossip Girl: Chica Indiscreta (Argentina)
72;movie;2582802;Whiplash;Whiplash (Spain);Whiplash, Música y Obsesión (Chile)
72;movie;0121766;Star Wars: Episode III - Revenge of the Sith;Star Wars: Episodio III - La venganza de los sith (Spain);Star Wars: Episodio III - La venganza de los Sith (Argentina)
72;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
72;show;0412142;House;House (Spain);Dr. House (Chile)
72;show;0386676;The Office;The Office (Spain);The Office (Argentina)
72;show;8289930;Formula 1: Drive to Survive;Fórmula 1: La emoción de un Grand Prix (Spain);Formula 1: Drive to Survive (Argentina)
73;movie;2395427;Avengers: Age of Ultron;Vengadores: La era de Ultrón (Spain);Avengers: Era de Ultrón (Chile)
73;movie;1670345;Now You See Me;Ahora me ves... (Spain);Los ilusionistas: Nada es lo que parece (Chile)
73;movie;0418279;Transformers;Transformers (Spain);Transformers (Argentina)
73;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
73;show;0397442;Gossip Girl;Gossip Girl (Spain);Gossip Girl: Chica Indiscreta (Argentina)
73;show;7569592;Chilling Adventures of Sabrina;Las escalofriantes aventuras de Sabrina (Spain);El mundo oculto de Sabrina (Argentina)
74;movie;3797868;The Choice;La decisión (En nombre del amor) (Spain);En nombre del amor (Chile)
74;movie;2543472;Wonder;Wonder (Spain);Extraordinario (Chile)
74;show;2171665;Violetta;Violetta (Spain);Violetta (Argentina)
74;show;0108778;Friends;Friends (Spain);Friends (Argentina)
74;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
75;movie;0365830;Tenacious D in the Pick of Destiny;Dando la nota (Spain);Delirios de fama - Tenacious D (Argentina)
75;movie;1675434;The Intouchables;Intocable (Spain);Amigos (Chile)
75;movie;0133240;Treasure Planet;El planeta del tesoro (Spain);El planeta del tesoro (Argentina)
75;show;0481256;Hajime no ippo;ND;ND
75;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
75;show;0965547;Slam Dunk;ND;ND
76;movie;0068646;The Godfather;El padrino (Spain);El padrino (Chile)
76;movie;0080684;Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episodio V - El Imperio contraataca (Spain) (alternative title);El imperio contraataca (Chile)
76;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile)
76;show;5753856;Dark;Dark (Spain);Dark (Argentina)
76;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
76;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
77;movie;0172495;Gladiator;Gladiator (Spain) (alternative title);Gladiador (Chile)
77;movie;0126029;Shrek;Shrek (Spain);Shrek (Argentina)
77;movie;0381061;Casino Royale;007: Casino Royale (Spain) (alternative title);Casino Royale (Argentina)
77;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
77;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
77;show;0212671;Malcolm in the Middle;Malcolm (Spain);Malcolm (Argentina)
78;movie;1375666;Inception;Origen (Spain);El origen (Chile)
78;movie;0482571;The Prestige;El truco final (El prestigio) (Spain);El gran truco (Argentina)
78;movie;0468569;The Dark Knight;El caballero oscuro (Spain);Batman - El caballero de la noche (Argentina)
78;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
78;show;0185906;Band of Brothers;Hermanos de sangre (Spain);Band of Brothers (Argentina)
78;show;2707408;Narcos;Narcos (Spain);ND
79;movie;2119532;Hacksaw Ridge;Hasta el último hombre (Spain);Hasta el último hombre (Chile)
79;movie;1924396;The Best Offer;La mejor oferta (Spain);La mejor oferta (Chile)
79;movie;0114709;Toy Story;Toy Story (Juguetes) (Spain) (complete title);Toy Story (Argentina)
79;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
79;show;1520211;The Walking Dead;The Walking Dead (Spain);The Walking Dead (Argentina)
79;show;2193021;Arrow;Arrow (Spain);ND
80;movie;5311514;Your Name.;Your Name. (Spain);Your Name. (Chile)
80;movie;5700672;Train to Busan;Train to Busan (Spain);Estación Zombie (Chile)
80;movie;0298148;Shrek 2;Shrek 2 (Spain);Shrek 2 (Argentina)
80;show;6157148;Weightlifting Fairy Kim Bok-Joo;ND;El hada de las pesas (Argentina)
80;show;11239552;Itaewon Class;Itaewon Class (Spain);Itaewon Class (Argentina)
80;show;4925000;Descendants of the Sun;Tae-yang-eui hoo-ye (Spain);Descendientes del sol (Argentina) (alternative spelling)
81;movie;0211915;Amélie;Amelie (Spain);El fabuloso destino de Amelie Poulain (Chile)
81;movie;2278388;The Grand Budapest Hotel;El gran hotel Budapest (Spain);El Gran Hotel Budapest (Chile)
81;movie;0108052;Schindler's List;La llista de Schindler (Spain) (Catalan title);La lista de Schindler (Chile)
81;show;0238784;Gilmore Girls;Las chicas Gilmore (Spain);Gilmore Girls (Argentina)
81;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
81;show;10048342;The Queen's Gambit;Gambito de dama (Spain);Gambito de dama (Argentina)
82;movie;0086250;Scarface;El precio del poder (Spain);Caracortada (Chile)
82;movie;0071562;The Godfather: Part II;El padrí II (Spain) (Catalan title);El padrino II (Chile)
82;movie;3890160;Baby Driver;Baby Driver (Spain);Baby: El aprendiz del crimen (Chile)
82;show;3032476;Better Call Saul;Better Call Saul (Spain);Better Call Saul (Argentina)
82;show;0417299;Avatar: The Last Airbender;Avatar: el último maestro aire (Spain) (alternative spelling);ND
82;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
83;movie;2948372;Soul;Soul (Spain);Soul (Chile)
83;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
83;movie;0448115;Shazam!;¡Shazam! (Spain);¡Shazam! (Chile)
83;show;1305826;Adventure Time;Hora de aventuras (Spain);Hora de Aventura (Chile)
83;show;8146754;Infinity Train;Infinity Train (Spain);El tren infinito (Chile)
83;show;9140560;WandaVision;Bruja Escarlata y Visión (Spain);WandaVision (Argentina)
84;movie;3149038;A Brilliant Young Mind;X+Y (Spain);ND
84;movie;0119217;Good Will Hunting;El indomable Will Hunting (Spain);En Busca del Destino (Chile)
84;movie;0330373;Harry Potter and the Goblet of Fire;Harry Potter y el cáliz de fuego (Spain);Harry Potter y el cáliz de fuego (Argentina)
84;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
84;show;0165598;That '70s Show;Aquellos maravillosos 70 (Spain);That '70s Show (Argentina)
84;show;0108778;Friends;Friends (Spain);Friends (Argentina)
85;movie;0137523;Fight Club;El club de la lucha (Spain);El club de la pelea (Argentina)
85;movie;0259711;Vanilla Sky;Vanilla Sky (Spain);Vanilla Sky (Argentina)
85;movie;1931533;Seven Psychopaths;Siete psicópatas (Spain);Sie7e psicópatas (Chile)
85;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
85;show;0988824;Naruto: Shippûden;Naruto: Shippûden (Spain);Naruto Shippuden (Chile)
85;show;2560140;Attack on Titan;Ataque a los titanes (Spain);ND
86;movie;0361748;Inglourious Basterds;Malditos bastardos (Spain);Bastardos sin gloria (Argentina)
86;movie;0120669;Fear and Loathing in Las Vegas;Miedo y asco en Las Vegas (Spain);Pánico y locura en Las Vegas (Chile)
86;movie;0076759;Star Wars: Episode IV - A New Hope;Star Wars: Episodio IV - Una nueva esperanza (Spain) (alternative title);La guerra de las galaxias (Chile)
86;show;0898266;The Big Bang Theory;Big Bang (Spain);La teoría del Big Bang (Argentina)
86;show;1442437;Modern Family;Modern Family (Spain);Modern Family (Argentina)
86;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
87;movie;0327597;Coraline;Los mundos de Coraline (Spain);Coraline y la puerta secreta (Argentina)
87;movie;0338348;The Polar Express;Polar Express (Spain);El expreso polar (Chile)
87;movie;1477076;Saw: The Final Chapter;Saw VII 3D (Spain);El juego del miedo VII (Chile)
87;show;4574334;Stranger Things;Stranger Things (Spain);Stranger Things (Argentina)
87;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
87;show;1837492;13 Reasons Why;Por trece razones (Spain);Por 13 razones (Argentina)
88;movie;0347149;Howl's Moving Castle;El castillo ambulante (Spain);El castillo ambulante (Chile)
88;movie;0120762;Mulan;Mulán (Spain);Mulan (Argentina)
88;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
88;show;12343534;Jujutsu Kaisen;Jujutsu Kaisen (Spain);ND
88;show;1355642;Fullmetal Alchemist: Brotherhood;Fullmetal Alchemist: Brotherhood (Spain);ND
88;show;0412142;House;House (Spain);Dr. House (Chile)
89;movie;0110912;Pulp Fiction;Pulp Fiction (Spain);Pulp Fiction: Tiempos violentos (Chile)
89;movie;7131622;Once Upon a Time... In Hollywood;Érase una vez en... Hollywood (Spain);Había Una Vez en Hollywood (Chile)
89;movie;0361748;Inglourious Basterds;Malditos bastardos (Spain);Bastardos sin gloria (Argentina)
89;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
89;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
89;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
90;movie;0071853;Monty Python and the Holy Grail;Los caballeros de la mesa cuadrada (Spain) (short title);Los caballeros de la mesa cuadrada (Argentina)
90;movie;3799694;The Nice Guys;Dos buenos tipos (Spain);Dos tipos peligrosos (Chile)
90;movie;1276104;Looper;Looper (Spain);Looper: Asesinos del futuro (Chile)
90;show;0367279;Arrested Development;Arrested Development (Spain);Sacrificios De Familia (Chile) (dubbed version)
90;show;5290382;Mindhunter;Mindhunter (Spain);Mindhunter (Argentina)
90;show;5712554;The Grand Tour;The Grand Tour (Spain);ND
91;movie;5311514;Your Name.;Your Name. (Spain);Your Name. (Chile)
91;movie;0289879;The Butterfly Effect;El efecto mariposa (Spain);El efecto mariposa (Argentina)
91;movie;0298148;Shrek 2;Shrek 2 (Spain);Shrek 2 (Argentina)
91;show;3895150;Shigatsu wa kimi no uso;Your Lie in April (Spain);ND
91;show;1124373;Sons of Anarchy;Hijos de la anarquía (Spain);ND
91;show;7767422;Sex Education;Sex Education (Spain);Sex Education (Argentina)
92;movie;1438254;Charlie St. Cloud;Siempre a mi lado (Spain);Más allá del cielo (Argentina)
92;movie;4857264;The Invisible Guest;ND;ND
92;movie;2674426;Me Before You;Antes de ti (Spain);Yo antes de ti (Chile)
92;show;7053188;Station 19;Estación 19 (Spain);ND
92;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
92;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
93;movie;0088763;Back to the Future;Retorn al futur (Spain) (Catalan title);Volver al futuro (Chile)
93;movie;0387564;Saw;Saw (Spain);El juego del miedo (Argentina)
93;movie;0315327;Bruce Almighty;Como Dios (Spain);Todopoderoso (Argentina)
93;show;10048342;The Queen's Gambit;Gambito de dama (Spain);Gambito de dama (Argentina)
93;show;0212671;Malcolm in the Middle;Malcolm (Spain);Malcolm (Argentina)
93;show;0412142;House;House (Spain);Dr. House (Chile)
94;movie;0245712;Amores Perros;Amores perros (Spain);ND
94;movie;2562232;Birdman or (The Unexpected Virtue of Ignorance);Birdman o (La inesperada virtud de la ignorancia) (Spain);Birdman o (La Inesperada Virtud de la Ignorancia) (Chile)
94;movie;1164999;Biutiful;Biutiful (Spain);ND
94;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
94;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
94;show;2085059;Black Mirror;Black Mirror (Spain);ND
95;movie;0468569;The Dark Knight;El caballero oscuro (Spain);Batman - El caballero de la noche (Argentina)
95;movie;1675434;The Intouchables;Intocable (Spain);Amigos (Chile)
95;movie;8228288;The Platform;La plataforma (Spain) (working title);ND
95;show;2531336;Lupin;Lupin (Spain);Lupin (Argentina)
95;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
95;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
96;movie;0119116;The Fifth Element;El quinto elemento (Spain);El quinto elemento (Argentina)
96;movie;0069293;Solaris;Solaris (Spain);Solaris (Argentina)
96;movie;0133093;The Matrix;Matrix (Spain);Matrix (Argentina)
96;show;1475582;Sherlock;Sherlock (Spain);ND
96;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
96;show;0417299;Avatar: The Last Airbender;Avatar: el último maestro aire (Spain) (alternative spelling);ND
97;movie;4016934;The Handmaiden;La doncella (Spain);La doncella (Argentina)
97;movie;0347149;Howl's Moving Castle;El castillo ambulante (Spain);El castillo ambulante (Chile)
97;movie;0298148;Shrek 2;Shrek 2 (Spain);Shrek 2 (Argentina)
97;show;8673610;Cells at Work!;ND;Cells at Work! (Argentina)
97;show;2155025;Please Like Me;Please Like Me (Spain);ND
97;show;6354518;The Disastrous Life of Saiki K.;The Disastrous Life of Saiki K (Spain);ND
98;movie;2802144;Kingsman: The Secret Service;Kingsman: Servicio secreto (Spain);Kingsman: El servicio secreto (Chile)
98;movie;0347149;Howl's Moving Castle;El castillo ambulante (Spain);El castillo ambulante (Chile)
98;movie;3890160;Baby Driver;Baby Driver (Spain);Baby: El aprendiz del crimen (Chile)
98;show;0417299;Avatar: The Last Airbender;Avatar: el último maestro aire (Spain) (alternative spelling);ND
98;show;5994364;Guardian: The Lonely and Great God;ND;Goblin: El solitario ser inmortal (Argentina) (alternative spelling)
98;show;9184982;Tribes of Europa;Tribus de Europa (Spain);Tribus de Europa (Argentina)
99;movie;1211837;Doctor Strange;Doctor Extraño (Spain) (alternative title);Doctor Strange: Hechicero Supremo (Chile)
99;movie;2543164;Arrival;La llegada (Spain);La Llegada (Chile)
99;movie;0298148;Shrek 2;Shrek 2 (Spain);Shrek 2 (Argentina)
99;show;1475582;Sherlock;Sherlock (Spain);ND
99;show;6470478;The Good Doctor;The Good Doctor (Spain);ND
99;show;6315640;Atypical;Atípico (Spain);ND
100;movie;0376541;Closer;Closer (Spain);Closer: Llevados por el deseo (Chile)
100;movie;1022603;500 Days of Summer;(500) días juntos (Spain);500 Días Con Summer (Chile) (alternative title)
100;movie;0108052;Schindler's List;La llista de Schindler (Spain) (Catalan title);La lista de Schindler (Chile)
100;show;0108778;Friends;Friends (Spain);Friends (Argentina)
100;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
100;show;4524056;Vis a vis;Vis a vis (Spain);ND
101;movie;0339918;Wolves of Wall Street;Lobos de Wall Street (Spain);ND
101;movie;3201640;Extinction;Extinción (Spain);ND
101;movie;0848228;The Avengers;Marvel: Los Vengadores (Spain) (alternative title);The Avengers: Los vengadores (Chile)
101;show;2531336;Lupin;Lupin (Spain);Lupin (Argentina)
101;show;4574334;Stranger Things;Stranger Things (Spain);Stranger Things (Argentina)
101;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
102;movie;1375666;Inception;Origen (Spain);El origen (Chile)
102;movie;0499549;Avatar;Avatar (Spain);Avatar (Argentina)
102;movie;0418279;Transformers;Transformers (Spain);Transformers (Argentina)
102;show;5753856;Dark;Dark (Spain);Dark (Argentina)
102;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
102;show;0096697;The Simpsons;Los Simpson (Spain);Los Simpson (Argentina)
103;movie;0099088;Back to the Future Part III;Regreso al futuro. Parte III (Spain);Volver al futuro III (Chile)
103;movie;2140203;Wolf Children;Wolf Children (Los niños lobo) (Spain);Los niños lobos (Argentina)
103;movie;1856101;Blade Runner 2049;Blade Runner 2049 (Spain);Blade Runner 2049 (Chile)
103;show;0417299;Avatar: The Last Airbender;Avatar: el último maestro aire (Spain) (alternative spelling);ND
103;show;12013558;BNA;ND;BNA (Argentina)
103;show;2387612;Persona 4: The Animation;ND;ND
104;movie;0097165;Dead Poets Society;El club de los poetas muertos (Spain);La sociedad de los poetas muertos (Argentina)
104;movie;1375666;Inception;Origen (Spain);El origen (Chile)
104;movie;0478087;21;21: Black Jack (Spain);21 Blackjack (Argentina)
104;show;6470478;The Good Doctor;The Good Doctor (Spain);ND
104;show;0412142;House;House (Spain);Dr. House (Chile)
104;show;8673610;Cells at Work!;ND;Cells at Work! (Argentina)
105;movie;0167260;The Lord of the Rings: The Return of the King;El señor de los anillos: El retorno del rey (Spain);El señor de los anillos: El retorno del rey (Argentina)
105;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
105;movie;0468569;The Dark Knight;El caballero oscuro (Spain);Batman - El caballero de la noche (Argentina)
105;show;1520211;The Walking Dead;The Walking Dead (Spain);The Walking Dead (Argentina)
105;show;1405406;The Vampire Diaries;Crónicas vampíricas (Spain);ND
105;show;0397442;Gossip Girl;Gossip Girl (Spain);Gossip Girl: Chica Indiscreta (Argentina)
106;movie;1638002;Love, Rosie;Los imprevistos del amor (Spain);Los imprevistos del amor (Chile)
106;movie;5541240;To the Bone;Hasta los huesos (Spain);Hasta el hueso (Chile) (alternative title)
106;movie;0084509;The Plague Dogs;Los Perros de la Plaga (Spain);ND
106;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
106;show;0388629;One Piece;One Piece (Spain) (Gallegan title);One Piece (Chile)
106;show;3475734;Agent Carter;Agente Carter (Spain);ND
107;movie;0080684;Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episodio V - El Imperio contraataca (Spain) (alternative title);El imperio contraataca (Chile)
107;movie;1853728;Django Unchained;Django desencadenado (Spain);Django sin cadenas (Chile)
107;movie;2582802;Whiplash;Whiplash (Spain);Whiplash, Música y Obsesión (Chile)
107;show;0386676;The Office;The Office (Spain);The Office (Argentina)
107;show;0903747;Breaking Bad;Breaking Bad (Spain);Breaking Bad (Argentina)
107;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
