Year,Semester,Section,Num in Sec,Facultad,Curriculo
2020,1,2,64,4,40013
2020,1,2,65,9,90001
2020,1,2,66,6,62001
2020,1,2,67,9,90001
2020,1,2,68,2,20101
2020,1,2,69,2,20101
2020,1,2,70,9,90001
2020,1,2,71,2,20101
2020,1,2,72,4,40013
2020,1,2,73,9,90001
2020,1,2,74,9,90001
2020,1,2,75,9,90001
2020,1,2,76,4,40013
2020,1,2,77,9,90001
2020,1,2,78,2,20101
2020,1,2,79,2,20101
2020,1,2,80,9,90001
2020,1,2,81,2,20101
2020,1,2,82,2,20101
2020,1,2,83,6,61001
2020,1,2,84,9,90001
2020,1,2,85,9,90001
2020,1,2,86,5,50004
2020,1,2,87,9,90001
2020,1,2,88,2,20101
2020,1,2,89,4,40013
2020,1,2,90,2,20101
2020,1,2,91,6,61001
2020,1,2,92,4,40013
2020,1,2,93,5,50006
2020,1,2,94,4,40013
2020,1,2,95,9,90001
2020,1,2,96,9,90001
2020,1,2,97,9,90001
2020,1,2,98,2,20101
2020,1,2,99,4,40013
2020,1,2,100,2,20101
2020,1,2,101,2,20101
2020,1,2,102,9,90001
2020,1,2,103,9,90001
2020,1,2,104,6,61001
2020,1,2,105,9,90001
2020,1,2,106,5,50004
2020,1,2,107,9,90001
2020,1,2,108,4,40013
2020,1,2,109,4,40013
2020,1,2,110,4,40013
2020,1,3,1,4,40013
2020,1,3,2,6,61001
2020,1,3,3,11,110020
2020,1,3,4,6,62001
2020,1,3,5,9,90001
2020,1,3,6,9,90001
2020,1,3,7,4,40013
2020,1,3,8,5,50004
2020,1,3,9,4,40013
2020,1,3,10,6,61001
2020,1,3,11,6,62001
2020,1,3,12,9,90001
2020,1,3,13,70,700204
2020,1,3,14,9,90001
2020,1,3,15,4,40013
2020,1,3,16,4,40013
2020,1,3,17,10,100401
2020,1,3,18,4,40013
2020,1,3,19,4,40013
2020,1,3,20,6,62001
2020,1,3,21,4,40013
2020,1,3,22,4,40013
2020,1,3,23,9,90001
2020,1,3,24,9,90001
2020,1,3,25,6,62001
2020,1,3,26,4,40013
2020,1,3,27,9,90001
